Date,Description,Amount,Type
"Oct 28, 2019",VIDEOTRON LTEE. 110 PPACCMONTREAL QC,$133.79,Telcome
"Oct 24, 2019",DUTY FREE MTL INT'L ST-LAURENT QC,$43.00,One-time
"Oct 19, 2019",PAYPAL *GOOGLE LONG TE 4029357733 NS,$30.99,Game
"Oct 14, 2019",PAYPAL *GOOGLE LONG TE 4029357733 NS,$24.99,Game
"Oct 14, 2019",PAYPAL *GOOGLE LONG TE 4029357733 NS,$30.99,Game
"Oct 13, 2019",PARC OMEGA MONTEBELLO QC,$23.00,Travel
"Oct 11, 2019",RTM - ABONNEMENT MONTREAL QC,$141.00,Transport
"Oct 07, 2019",PAYPAL *GOOGLE LONG TE 4029357733 NS,$24.99,Game
"Oct 07, 2019",FIDO Mobile *636888646 888-764-3771 ON,$108.61,Telcome
"Oct 06, 2019",PAYPAL *GOOGLE LONG TE 4029357733 NS,$11.99,Game
"Oct 02, 2019",RUBY ROUGE RESTAURANT MONTREAL QC,$14.09,Social
"Sep 28, 2019",PAYPAL *GOOGLE LONG TE 4029357733 NS,$1.19,Game
"Sep 27, 2019",VIDEOTRON LTEE. 110 PPACCMONTREAL QC,$141.14,Telcome
"Sep 26, 2019",RESTAURANT NOUILLES DE LAMONTREAL QC,$14.79,Meet
"Nov 10, 2019",PAYPAL *GOOGLE LONG TEC 4029357733 NS,$11.99,Game
"Nov 09, 2019",PAYPAL *GOOGLE LONG TEC 4029357733 NS,$11.99,Game
"Nov 09, 2019",FIDO MACC 888-481-3436 ON,$108.61,Telcome
"Nov 08, 2019",PAYPAL *GOOGLE LONG TEC 4029357733 NS,$11.99,Game
